name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,doornumber
Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,95.7,166.3,64.4,53,2081,98,3.19,3.03,9,70,4800,30,37,four
Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9,70,4800,30,37,four
Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner,95.7,166.3,64.4,53,2275,110,3.27,3.35,22.5,56,4500,34,36,four
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,four
Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,95.7,166.3,64.4,53,2094,98,3.19,3.03,9,70,4800,38,47,four
Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,95.7,166.3,64.4,52.8,2122,98,3.19,3.03,9,70,4800,28,34,four
Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,95.7,166.3,64.4,52.8,2140,98,3.19,3.03,9,70,4800,28,34,four
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner,94.5,168.7,64,52.6,2169,98,3.19,3.03,9,70,4800,29,34,two
Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,94.5,168.7,64,52.6,2204,98,3.19,3.03,9,70,4800,29,34,two
Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,94.5,168.7,64,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,two
Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner,94.5,168.7,64,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,two
Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,98.4,176.2,65.6,52,2540,146,3.62,3.5,9.3,116,4800,24,30,two
Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,98.4,176.2,65.6,52,2536,146,3.62,3.5,9.3,116,4800,24,30,two
Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,98.4,176.2,65.6,52,2551,146,3.62,3.5,9.3,116,4800,24,30,two
Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,98.4,176.2,65.6,52,2679,146,3.62,3.5,9.3,116,4800,24,30,two
Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,98.4,176.2,65.6,52,2714,146,3.62,3.5,9.3,116,4800,24,30,two
Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,98.4,176.2,65.6,53,2975,146,3.62,3.5,9.3,116,4800,24,30,two
Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,four
Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,four
Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,four
Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,four
Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,102.4,175.6,66.5,53.9,2458,122,3.31,3.54,8.7,92,4200,27,32,four
Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,102.9,183.5,67.7,52,2976,171,3.27,3.35,9.3,161,5200,20,24,two
Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,102.9,183.5,67.7,52,3016,171,3.27,3.35,9.3,161,5200,19,24,two
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,104.5,187.8,66.5,54.1,3131,171,3.27,3.35,9.2,156,5200,20,24,four
Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24,four
Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23,52,4800,37,46,two
Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,97.3,171.7,65.5,55.7,2209,109,3.19,3.4,9,85,5250,27,34,two
Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,97.3,171.7,65.5,55.7,2264,97,3.01,3.4,23,52,4800,37,46,four
Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,97.3,171.7,65.5,55.7,2212,109,3.19,3.4,9,85,5250,27,34,four
Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner,97.3,171.7,65.5,55.7,2275,109,3.19,3.4,9,85,5250,27,34,four
Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,97.3,171.7,65.5,55.7,2319,97,3.01,3.4,23,68,4500,37,42,four
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10,100,5500,26,32,four
Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,two
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,94.5,165.7,64,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,two
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,four
Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,100.4,180.2,66.9,55.1,2579,97,3.01,3.4,23,68,4500,33,38,four
Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9,88,5500,25,31,four
Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,four
Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,four
Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,four
Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner,104.3,188.8,67.2,57.5,3042,141,3.78,3.15,9.5,114,5400,24,28,four
Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,104.3,188.8,67.2,56.2,3045,130,3.62,3.15,7.5,162,5100,17,22,four
Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,four
Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,four
Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,four
Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,109.1,188.8,68.9,55.5,3012,173,3.58,2.87,8.8,134,5500,18,23,four
Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23,106,4800,26,27,four
BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,four
